wavelength,wave_label,20041EW,20041err,20041label,Cernis52EW,Cernis52err,Cernis52label,23180EW,23180err,23180label,281159EW,281159err,281159label,23512EW,23512err,23512label,24534EW,24534err,24534label,24912EW,24912err,24912label,28482EW,28482err,28482label,37061EW,37061err,37061label,37903EW,37903err,37903label,43384EW,43384err,43384label,147084EW,147084err,147084label,147889EW,147889err,147889label,148579EW,148579err,148579label,166734EW,166734err,166734label,168625EW,168625err,168625label,175156EW,175156err,175156label,183143EW,183143err,183143label,190603EW,190603err,190603label,194279EW,194279err,194279label,CygOB25EW,CygOB25err,CygOB25label,CygOB212EW,CygOB212err,CygOB212label,204827EW,204827err,204827label,206267EW,206267err,206267label,223385EW,223385err,223385label
6128.26,6128,,,R,12.5,,L,6.7,1.3,D,10.5,1,D,3,,L,3.6,,L,5.3,,L,12.5,3.5,D,3.2,,L,3.4,,L,15.2,1.5,D,,,R,5.8,1.6,D,10.1,,L,13.3,2.4,D,21.1,2.5,D,13.1,1.3,D,11.3,1.9,D,14.4,1.2,D,6.4,2,D,11.4,2.1,D,15.5,2.7,D,3.4,,L,7.9,1.4,D,,,R
6136,6136,2.5,,L,,,R,1.8,,L,3.5,0.7,D,2.2,,L,2,,L,2,,L,7,,L,2.1,,L,2.2,,L,1.8,,L,,,R,3.5,0.5,D,3.5,,L,7.2,1,D,5.5,,L,1.9,,L,4.7,0.7,D,2.4,,L,4.4,,L,6.1,,L,7.8,,L,5.6,0.5,D,2.3,,L,2.5,,L
6139.95,6139,7.4,0.5,D,8,1.2,D,5.7,0.2,D,5.7,0.3,D,1.6,,L,6.7,0.5,D,4.5,0.9,D,5.1,0.8,D,0.9,,L,1.3,,L,10.4,0.5,D,10.8,,L,13.3,0.3,D,3,,L,26.4,1,D,18.5,1,D,5.2,0.2,D,16.1,0.7,D,6.7,0.8,D,8.5,0.9,D,15.9,1.1,D,20.5,1,D,13.5,0.3,D,3.2,0.3,D,2.6,0.3,D
6142.21,6142,,,R,8.1,,L,1.2,,L,4,0.3,D,1,0.3,D,2.1,0.6,D,1.7,0.3,D,,,R,0.9,,L,1.8,,L,,,R,,,R,2.7,,L,16.4,1.3,C,10.1,0.3,D,,,R,,,R,8.6,0.2,C,2.8,0.3,D,,,R,7.9,1.3,D,,,R,4.1,0.2,D,2.8,0.3,D,,,R
6145.62,6145,2.4,0.3,D,4.2,,L,3.2,0.5,D,1.8,0.5,D,0.5,,L,0.8,,L,2.9,0.4,D,5.5,1,D,0.8,,L,1.1,,L,2.7,0.3,D,,,R,2.4,0.5,D,2,,L,8.8,0.4,D,12.1,0.9,D,2.6,0.2,D,1.9,0.5,D,0.6,,L,2.1,0.6,D,4.5,0.7,D,5.1,0.6,D,3.7,0.1,D,0.9,0.2,D,0.7,,L
6148.29,6148,,,R,8.2,,L,0.9,,L,1.8,,L,1.4,,L,2.4,0.8,D,2,0.5,D,,,R,1.6,,L,0.9,,L,5.4,0.9,D,,,R,4.8,,L,,,R,1,,L,7,,L,,,R,,,R,1.6,,L,5,,L,1.6,0.2,D,3.8,0.3,D,7.3,0.8,D,2.8,0.5,D,,,R
6151.14,6151,4.5,,L,11.2,,L,1.9,0.3,D,3.1,,L,,,R,1.8,,L,1.3,,L,4.6,,L,3.5,0.6,D,6.5,1,D,,,R,3.1,,L,9.9,0.9,C,1.3,,L,3.5,0.7,D,10.6,1,D,,,R,9.6,0.6,D,1.9,,L,7.9,0.9,D,6.9,1.3,D,,,R,7.1,0.8,D,0.8,,L,3.2,0.2,D
6158.52,6158,,,R,,,R,3.8,0.2,D,3.5,0.2,D,1.1,,L,0.7,,L,1.1,,L,,,R,0.8,,L,0.9,,L,9.7,0.5,C,,,R,,,R,,,R,7.8,0.8,D,,,R,,,R,,,R,,,R,2.3,0.5,D,5.5,0.4,D,9.5,1.1,D,10,0.6,C,3.5,0.3,D,,,R
6159.63,6159,4.5,,L,,,R,0.9,,L,1.8,,L,,,R,1.6,0.3,D,3.7,,L,,,R,0.6,,L,1.3,,L,2.8,,L,,,R,,,R,,,R,12.8,0.8,D,,,R,1.2,,L,,,R,,,R,2.5,,L,12.4,0.6,D,8.5,1.2,D,5.1,0.7,D,3.9,0.5,D,1.1,,L
6161.95,6161,8.4,0.2,D,9.4,1.4,D,1.7,0.1,D,4,0.7,D,1.5,,L,5.1,0.2,D,2.7,0.4,D,4.4,,L,0.7,,L,1.7,,L,6.3,0.3,D,,,R,5.1,0.4,D,1.2,,L,23.1,0.5,D,17,0.4,D,5.6,0.3,D,11.3,0.2,D,4.1,0.4,D,4.5,0.5,C,11.6,0.6,D,10.4,1.2,D,9.9,0.3,D,3.1,0.7,D,3.2,0.3,D
