wavelength,wave_label,20041EW,20041err,20041label,Cernis52EW,Cernis52err,Cernis52label,23180EW,23180err,23180label,281159EW,281159err,281159label,23512EW,23512err,23512label,24534EW,24534err,24534label,24912EW,24912err,24912label,28482EW,28482err,28482label,37061EW,37061err,37061label,37903EW,37903err,37903label,43384EW,43384err,43384label,147084EW,147084err,147084label,147889EW,147889err,147889label,148579EW,148579err,148579label,166734EW,166734err,166734label,168625EW,168625err,168625label,175156EW,175156err,175156label,183143EW,183143err,183143label,190603EW,190603err,190603label,194279EW,194279err,194279label,CygOB25EW,CygOB25err,CygOB25label,CygOB212EW,CygOB212err,CygOB212label,204827EW,204827err,204827label,206267EW,206267err,206267label,223385EW,223385err,223385label
6252.31,6252,1.5,,L,3.5,,L,0.5,0.1,D,1.5,,L,1.3,,L,1.9,0.2,D,1.4,,L,2.7,0.3,D,0.7,,L,1,,L,1,,L,,,R,2.6,0.4,D,1.4,,L,3.4,0.5,D,2.5,0.6,D,0.6,,L,3,0.4,D,0.9,0.3,D,0.7,,L,1.4,,L,1.7,0.4,D,1.9,0.4,D,1.1,,L,1.4,,L
6259.65,6259,3.2,0.6,D,4,,L,1.8,0.3,D,2.4,0.5,D,1.1,,L,1.2,,L,1,0.2,D,4.8,1,D,1.4,0.3,D,1,,L,4.4,0.4,D,1.8,,L,,,R,1.4,,L,4.8,0.8,D,2.5,,L,3.5,0.5,D,2.9,0.8,D,1,,L,2.5,0.6,D,3.1,0.6,D,9.1,0.5,D,2.9,0.3,D,0.7,,L,1,,L
6268.59,6268,15.6,0.4,D,6.8,,L,1.9,0.2,D,7.6,0.4,D,0.5,,L,1.7,0.5,D,3.9,0.3,D,2.6,,L,4.3,0.6,D,3.9,0.4,D,11.4,0.3,D,,,R,10.5,0.4,D,5.6,0.9,D,14.8,0.7,D,28.3,0.4,D,1.7,0.3,D,24.5,0.5,D,5.5,0.3,D,9.2,0.6,D,28.7,0.6,D,,,R,3.6,0.4,D,5.6,0.4,D,12.3,0.4,D
6269.89,6269,115.9,0.7,D,21.7,3.3,D,11.9,0.6,D,43.3,0.5,D,2.1,0.6,D,14.5,0.7,D,34.8,0.7,D,29.1,2,D,13.7,0.7,D,8.2,0.8,D,84.2,0.5,D,,,R,36.7,0.9,D,10.2,1.2,D,161.4,1,D,175.2,1.2,D,22.4,0.8,D,162.5,2.7,D,47.7,0.4,D,91.7,1.2,D,131.2,1.3,D,148.3,2.1,D,58.4,0.8,D,51.3,0.8,D,93.8,1,C
6269.88,6270,155.4,1.2,D,32.9,4.5,D,17,0.5,D,61.9,1,D,3.6,0.7,D,16.6,1.3,D,50.6,1.9,D,51,4.3,D,22.6,1.4,D,20.6,1.6,D,116.8,2,D,,,R,68.1,1.6,D,24.3,2.4,D,225.1,1.4,D,258.4,1.1,D,22.6,1,D,239.1,2,D,73.2,0.9,D,128.1,1.8,D,207.4,2.5,D,227.1,4,D,83.6,0.7,D,78.8,1.5,D,128.5,2,D
6271.4,6271,11,0.7,D,5.8,,L,2.2,0.2,D,7.2,0.4,D,0.7,,L,1.5,0.4,D,2.2,0.4,D,3.3,0.7,D,1.5,,L,1.6,,L,7.8,0.4,D,,,R,5.5,0.5,D,3.5,0.7,D,38.6,0.5,D,27.2,0.8,D,1.8,0.2,D,33.1,1.5,D,5.5,0.3,D,11.2,1.5,D,11.5,1.7,D,25.8,1.5,D,9.7,0.6,D,4.5,0.6,D,14.5,0.5,D
6275.56,6275,3.6,0.4,D,4.4,,L,0.7,0.1,D,0.4,,L,0.6,,L,1.1,0.3,D,2.4,0.3,D,1.8,,L,0.6,,L,0.7,,L,2.2,0.3,D,,,R,3.4,0.3,D,1.5,,L,5.4,0.3,D,6.2,0.6,D,1.4,0.1,D,1.2,0.3,D,0.5,,L,1.7,0.2,D,3.6,0.3,D,2.6,0.2,D,3.4,0.1,D,2.5,0.4,D,0.4,,L
6277.83,6277,13.6,1.1,C,10.5,,L,2.5,,L,1.6,,L,1.6,,L,2.8,,L,2.8,,L,5.3,,L,3.9,,L,4.9,,L,5.4,,L,,,R,2.9,,L,4,,L,27.7,2.3,D,52.4,2.1,D,14.4,0.8,D,14.1,1.2,D,10.6,1.2,D,26.2,0.9,D,18.9,0.6,D,24.1,2.1,D,15.5,0.9,D,18.4,0.7,D,11.2,1.2,D
6280.26,6280,16.2,1,D,8.3,,L,4.3,0.6,D,9.7,1.1,D,6.4,1.8,D,4.4,,L,10.5,1,D,9.6,,L,3.6,0.5,D,5.1,,L,13.9,2.5,D,,,R,10.9,1.3,D,,,R,9.1,1.2,D,15,2.3,D,4.4,0.7,D,19,1.4,D,17.6,1.8,D,31.8,2.2,D,23.3,2.5,D,26.8,2.6,D,3.9,0.8,D,9.6,0.8,D,12.9,1.3,D
6284.05,6284,1014.7,9.1,D,142.8,17.2,D,123.1,8,D,616.6,6.4,D,80.9,4.7,D,99.6,7.2,D,526.4,6.9,D,264.6,8.6,D,559.7,6.6,D,373.2,8.1,D,960,9,D,701.4,11.3,C,510.6,6.5,D,198.4,7.5,D,1624.8,15,D,1843.3,20.7,D,354.8,4.2,D,1957.9,19.5,D,1114.3,8.3,D,1227,8.1,D,2133.8,37.9,D,2147,17.2,D,504.6,8.1,D,532.6,8.2,D,1376.2,14.7,D
6287.59,6287,3.4,0.2,D,7,1.6,D,5.5,0.2,D,5.6,0.5,D,1,0.2,D,4.6,0.8,D,5.7,0.4,D,2.2,,L,0.8,,L,1.5,,L,4.9,0.3,D,4.8,,L,13,0.9,D,1.9,,L,29.9,0.3,D,21.3,0.6,D,4.5,0.2,C,13.1,0.5,D,7.2,0.2,C,5.4,,L,15.1,0.3,D,6.9,0.8,D,13.2,0.4,D,5.9,0.2,D,17.2,0.3,C
6289.66,6289,8,1.9,D,14,,L,1.8,,L,20.2,3.8,D,6.4,,L,3.6,,L,8.6,2.2,D,9.6,,L,4.7,,L,4.4,,L,8.8,,L,17.3,3.7,C,13.9,1.6,D,5.9,,L,6.5,,L,57.6,1.7,D,7.9,1.1,D,24.9,1.8,D,19.7,1.4,D,14.8,3,D,32.1,3.9,D,47.4,1.8,D,8.5,1.8,D,3.8,,L,78.7,1.6,C
6308.83,6308,52.7,3.7,D,24.5,,L,22.4,2.5,D,28.9,3,D,14.6,,L,10.7,,L,,,R,25.8,3.7,D,28,3.4,D,12.6,,L,25.5,6.6,C,81.2,4.2,C,11.3,2.5,D,29.3,3,D,235.5,4,D,82.3,11.5,C,9.8,,L,99.7,5.7,C,40.3,2,D,76.9,12.6,D,205,7.4,D,102,6.9,D,45.1,2.3,D,,,R,57.6,2.4,D
6318.07,6318,,,R,,,R,9.3,,L,22.6,,L,26.8,2.5,D,14.6,,L,,,R,30.6,,L,,,R,21.1,,L,32.3,,L,,,R,20.5,,L,37.9,4.5,C,216.3,6.7,D,175.1,9.6,D,11,,L,135.1,9.5,C,84.4,6.2,D,89.7,6.8,D,142,15.3,D,123.2,9.2,C,39.9,3.3,D,67.3,4.4,C,,,R
6323.94,6323,4.3,0.4,D,2.3,,L,0.8,,L,0.8,,L,0.6,,L,2.9,0.3,D,0.8,,L,1.1,,L,0.5,,L,1.1,,L,1.5,,L,,,R,3.1,0.4,D,1.9,,L,9.4,0.4,D,12.7,0.8,D,2.9,0.3,D,2.8,0.3,D,4.5,0.2,D,8.1,0.2,D,14.9,0.3,D,8.9,0.6,D,4.1,0.2,D,0.9,0.3,D,5.7,0.3,D
6324.91,6324,9,0.5,D,5.3,1.8,D,2.3,0.4,D,4.9,0.3,D,1,,L,4.3,0.4,D,3.2,0.2,D,1.1,,L,0.6,,L,2.1,0.3,D,11.8,0.4,D,4,0.5,D,3.6,0.2,D,1.3,,L,19.3,0.1,D,17.8,1.1,D,4,0.4,D,18.6,0.6,D,12,0.4,D,16.8,0.3,D,18.4,0.4,D,26.5,0.6,D,7.5,0.2,D,3.3,0.3,D,8,0.2,D
6330.03,6330,8.7,0.5,D,6.1,0.9,D,3.5,0.3,D,6.2,0.4,D,1.2,,L,5,0.3,D,4.3,0.2,D,2.8,,L,1.4,0.3,D,1.4,,L,11.1,0.7,D,4.1,,L,5,0.4,D,3.9,0.8,D,21.8,0.8,D,20.2,1.1,D,4.1,0.4,D,16.1,0.1,D,7.2,0.6,D,13.4,0.4,D,15.9,0.8,D,14.8,0.6,D,8.9,0.8,D,4.5,0.3,D,11.2,0.4,D
6337.99,6337,3.6,0.4,D,1.2,,L,2.1,0.2,D,1.5,,L,0.6,,L,2.1,,L,0.9,0.1,D,5.3,0.4,D,0.5,,L,0.7,,L,2.6,0.3,D,,,R,1.5,0.3,D,1.9,,L,3.2,0.2,D,6.6,0.5,D,1.5,,L,3,0.1,D,1.6,0.1,D,2.3,0.4,D,5.4,0.3,D,2.4,,L,2.1,0.3,D,1.4,0.1,D,0.8,,L
6350.73,6350,1.7,0.1,D,5.9,1.6,D,1.8,0.3,D,1.3,,L,1.3,,L,1.5,,L,1,,L,1.3,,L,1.9,0.3,D,0.7,,L,2.8,,L,,,R,1.2,,L,1.9,,L,4,,L,4.6,0.9,D,1.1,,L,6.3,0.2,D,1.9,,L,2.3,,L,3.9,0.5,D,3.7,,L,1.5,,L,2,,L,5,,L
6353.31,6353,28.1,2.4,D,12.9,,L,6,0.7,D,15.5,0.9,D,3.6,,L,31.2,2.6,D,8.4,0.8,D,9.7,,L,3.6,,L,6.4,1,D,32.7,1.9,D,5.8,,L,9.1,1.6,D,9.6,1.9,D,42.8,4.2,D,42.9,5,D,4.8,0.9,D,49.6,3.4,D,35.7,0.6,D,27.2,1.5,D,52.2,2.5,D,61.5,1.6,D,14.4,1,D,13.3,1.1,D,29.8,1.3,D
6355.42,6355,2.7,,L,5.4,,L,1.7,0.4,D,4.4,0.3,D,1.1,,L,1.8,,L,1.3,,L,5.8,,L,1.3,,L,1.3,,L,3,0.7,D,,,R,1.8,,L,1.6,,L,5.7,1.1,D,7.5,1.7,D,1.7,0.4,D,7.3,1.5,D,11.3,0.9,D,,,R,6.1,0.9,D,6.3,0.9,D,3.4,0.7,D,2.8,0.5,D,2,,L
6357.37,6357,,,R,3.7,,L,1.1,0.2,D,0.9,,L,0.7,,L,0.9,,L,0.8,0.3,D,,,R,0.4,,L,1.2,0.3,D,2.5,0.4,D,,,R,0.9,,L,1.5,,L,4.8,0.8,D,6.6,0.5,D,1.5,,L,3.5,0.4,D,,,R,,,R,0.7,,L,4.3,0.4,D,1.7,0.4,D,0.9,,L,,,R
6358.36,6358,3.7,0.6,D,4.6,,L,1.8,0.3,D,2.1,,L,0.9,,L,2,,L,1.5,,L,2.6,,L,0.7,,L,1.5,,L,5.9,0.6,D,1.9,,L,2.3,,L,2.7,,L,9.1,0.9,D,8.6,2.5,D,4.9,0.1,D,9.1,1.1,D,,,R,3.4,0.3,D,4.7,0.5,D,8.3,0.4,D,5.5,0.6,D,0.9,,L,2.2,,L
6362.26,6362,16.5,1.8,D,10.7,,L,2.6,,L,11.4,0.5,D,3.2,,L,9.6,0.9,D,6.1,0.6,D,7.8,,L,4.1,0.6,D,5.1,0.4,D,19.2,1.2,D,20.9,0.8,C,6.1,0.9,D,8.2,1.8,D,40.7,1.9,D,39.7,1.4,D,3.7,0.6,D,29.2,0.6,D,10.3,1.3,D,17.5,0.7,D,32.8,3.1,D,40.1,1,D,11.8,1.1,D,9.3,0.7,D,28.2,2.1,D
6365.02,6365,3.3,1.1,D,5.1,,L,1.3,,L,2.5,,L,2,,L,1.8,,L,1,,L,5.5,,L,2.3,,L,3.8,,L,5,,L,2.1,,L,8.6,0.8,D,4.7,,L,4.3,0.7,D,3.7,,L,1.9,,L,5.5,0.6,D,4.5,0.3,D,3,,L,6.6,0.7,D,10.9,1.3,D,2.7,,L,1.8,,L,3.3,,L
6367.3,6367,14.5,0.5,D,6.9,0.9,D,2.4,0.2,D,6.4,0.2,D,0.4,,L,4.6,0.2,D,3.4,0.4,D,10,0.8,D,1.1,0.2,D,0.5,,L,10.8,0.3,D,3.8,0.3,D,12.3,0.5,D,1.1,,L,23.3,0.4,D,27.7,0.8,D,4.3,0.2,D,18.7,0.9,D,5.2,0.5,D,11.9,0.2,D,15.4,1,D,23.3,0.3,D,11.1,0.5,D,6.8,0.2,D,9.8,0.5,D
6369.28,6369,,,R,,,R,2.6,,L,8.9,0.9,D,,,R,2.8,,L,4.1,,L,,,R,5.7,0.4,D,2.1,,L,,,R,,,R,4,,L,,,R,18.8,1.6,D,,,R,10.8,0.7,D,,,R,9.4,0.9,D,,,R,22.4,1.6,D,,,R,6.1,1.2,D,7.7,0.8,D,,,R
6374.68,6374,2.1,0.5,D,2.7,,L,1.9,0.2,D,1.9,,L,,,R,1.3,,L,2.2,0.6,D,5.7,,L,1.1,,L,0.4,,L,1,,L,3,,L,1.5,,L,4.6,,L,2.5,,L,2.6,,L,0.4,,L,2.6,,L,1.6,,L,2.6,,L,4.4,1.2,D,0.5,,L,2.1,0.4,D,1.6,,L,,,R
6376.14,6376,45.6,0.4,D,25.6,1.3,D,13.2,0.4,D,27.1,0.6,D,1.4,,L,11.5,0.4,D,11.6,0.6,D,,,R,4.6,0.5,D,1.4,0.1,D,25.6,0.8,D,3.4,0.6,D,48.2,0.7,D,12.3,0.6,D,70.7,0.5,D,86.7,1.3,D,9.7,0.5,D,49.7,0.7,D,20.5,0.1,D,43.4,0.6,D,42.7,0.4,D,74,1.4,D,32,0.2,D,15.5,0.3,D,26.4,1.4,D
6377.07,6377,18.5,0.3,D,10.6,1.1,D,3,0.2,D,10.7,0.5,D,0.8,,L,5.7,0.2,D,3.6,0.4,D,,,R,0.8,,L,1.2,0.1,D,8.7,0.6,D,2.6,0.5,D,13.9,0.6,D,5.2,0.6,D,24.1,0.5,D,28.2,1.1,D,4.4,0.1,D,11.4,0.3,D,4.1,0.3,D,12.9,0.4,D,14.2,0.3,D,17.5,0.6,D,10.9,0.1,D,4.5,0.2,D,8.2,1,D
6379.25,6379,80.3,0.5,D,72.8,1.3,D,35.5,0.2,D,56.6,0.6,D,2.7,0.2,D,41.9,0.6,D,28.2,0.4,D,31,0.8,D,,,R,3.2,0.3,D,88.6,0.6,D,31,0.3,D,87.1,1.2,D,25.2,0.9,D,224.4,0.5,D,192.8,1.1,D,41.1,0.3,D,112.7,0.4,D,19.6,0.5,D,,,R,94.4,0.4,D,156.3,1,D,93.6,0.3,D,40.8,0.7,D,55.8,0.9,D
6384.91,6384,,,R,2.8,,L,0.6,,L,1.7,0.3,D,0.7,,L,1.6,,L,1,,L,2.6,,L,0.6,,L,1,,L,8.6,0.6,D,,,R,2.3,0.4,D,2.1,0.5,D,7,0.8,D,9.5,0.9,D,12.3,0.2,D,4.6,0.3,C,1.4,,L,2.6,0.4,D,2.8,0.9,D,4.6,0.8,D,2.3,0.3,D,1.6,,L,,,R
6397.04,6397,30.1,0.9,D,7.2,,L,6,0.2,D,11.7,0.6,D,2.4,0.7,D,10.8,0.6,D,9.6,0.6,D,16.4,2.3,D,1.8,0.3,D,4.5,0.7,D,41.7,0.5,D,13.6,2.1,D,31.7,0.5,D,5.5,1.2,D,39.9,0.5,D,61.7,1.6,C,,,R,54.6,1,D,8.7,0.7,D,23.2,0.7,C,29.3,1.3,D,,,R,24.7,1,D,9.6,0.3,D,14.9,0.6,D
6400.49,6400,6.5,0.2,D,2.6,,L,2.8,0.1,C,4.2,0.1,D,1,,L,4.4,0.2,D,1.9,0.3,D,5.2,0.7,D,1.6,0.2,D,2.3,0.2,D,7.5,0.7,D,,,R,14.8,0.5,D,5.3,0.4,D,18.6,0.4,D,16.9,1,D,1.5,,L,9.5,0.5,D,4.6,0.7,D,,,R,7.8,0.4,D,11.8,0.4,D,7.5,0.1,D,3.9,0.3,D,1.2,0.2,C
6410.25,6410,6.3,0.4,D,7.6,1.1,D,1.4,,L,2.5,0.3,D,0.5,,L,1.9,0.3,D,2.8,0.3,D,3,,L,1,,L,0.8,,L,3.1,0.2,D,3.2,,L,5,0.4,D,1.4,,L,9.3,0.4,D,4.4,0.6,D,1.9,,L,3.9,0.2,D,1,,L,1.6,0.5,D,4.8,0.8,D,6.1,0.3,D,5.1,0.2,D,3.7,0.2,D,1,,L
6412.37,6412,,,R,77.1,,L,65,5.5,D,47.3,7.3,D,,,R,28.5,,L,,,R,97,15.1,D,,,R,34.7,6.5,D,68.1,8.5,D,,,R,66.7,,L,90.8,9.9,D,,,R,95,20.5,D,31.8,,L,118.6,12.5,C,56.8,5.8,D,71.4,10.3,D,,,R,103,12.2,D,,,R,,,R,,,R
6414.08,6414,12.7,0.8,D,3.2,,L,3.6,0.3,D,4.6,0.4,D,6.6,0.5,D,2.1,0.4,D,3,0.4,D,12,0.6,D,2.3,0.2,D,1.3,,L,9.8,0.5,D,,,R,6.4,0.3,D,3.5,,L,14.2,0.5,D,9.8,1,D,,,R,14.8,0.2,D,3.6,0.3,D,4.7,0.6,D,6.9,0.5,D,5.8,0.4,D,6.9,0.5,D,2.8,0.7,D,,,R
6415.3,6415,,,R,2.3,,L,0.9,0.3,D,2.5,0.4,D,2.9,0.3,D,1.1,,L,1.1,,L,2.4,,L,0.5,,L,0.6,,L,1.7,,L,,,R,4.4,0.7,D,2.2,,L,4.9,0.1,D,8.1,0.8,D,2.7,0.4,D,10.2,0.7,D,0.6,,L,1.2,,L,4.8,0.6,C,3.5,0.4,D,4.7,0.1,D,3.2,0.5,D,,,R
6417.13,6417,,,R,7.2,,L,2.1,,L,2.2,,L,6.4,0.4,D,2,,L,1.5,,L,,,R,1.9,,L,1.8,,L,1.7,,L,,,R,2.7,,L,6.6,1.8,C,5.6,0.8,D,4.8,,L,,,R,14.5,0.5,C,1.1,,L,3.8,0.5,D,8.3,0.4,D,3.3,,L,5.6,0.4,D,5.9,0.4,D,,,R
6418.64,6418,4.4,0.7,D,4.2,,L,1.4,,L,0.9,,L,8.2,0.4,D,1.1,,L,1,,L,6.1,0.9,D,1.3,,L,1.1,,L,2.3,0.4,D,1.9,,L,1.2,,L,2.6,,L,7.6,0.4,D,6.8,0.6,D,1.6,,L,6.4,0.6,D,2,0.3,D,17.1,0.7,D,4.5,0.2,D,8.1,0.4,D,4,0.8,D,2.6,0.4,D,,,R
6425.68,6425,19.6,0.4,C,5.8,,L,4.2,0.3,D,8,0.3,D,0.8,,L,5.2,0.6,D,7.2,0.4,D,13.9,0.7,D,3.1,0.2,D,2.5,0.4,D,15.4,0.7,D,,,R,7.5,0.5,D,1.8,,L,27.1,0.4,D,26.4,1.1,D,11,0.4,D,23.3,0.1,C,8.1,0.4,D,23.7,0.5,D,22.7,0.8,D,21.9,0.8,D,14.4,0.4,D,11.1,0.6,D,13.6,0.5,D
6427.58,6427,2.8,,L,5.7,,L,1.8,,L,2.1,,L,2.8,,L,2.3,,L,1.4,,L,4.4,,L,1.5,,L,2.3,0.5,D,2.4,,L,6.9,,L,2.4,,L,3.8,,L,5.1,,L,5.5,,L,2.2,,L,4.1,0.7,D,1.8,,L,7,0.5,D,4.1,,L,5.4,,L,4.5,0.1,D,3.3,0.6,D,2,,L
6438.29,6438,5.5,0.3,D,7.6,1.2,D,1.3,0.2,D,5.1,0.3,D,0.8,,L,2,0.4,D,1.2,,L,2.8,,L,0.9,,L,0.4,,L,4,0.8,D,,,R,2.4,0.3,D,2.1,,L,9.1,0.4,D,9.6,0.8,D,2.4,0.3,D,10.1,0.3,D,4.7,0.3,D,2.9,0.3,D,5.2,0.4,D,6.5,0.3,D,4.9,0.3,D,2.4,0.4,D,5.9,0.4,D
6439.51,6439,15.3,0.4,D,19.2,1.2,C,6.1,0.5,D,12.2,0.3,D,3.8,0.4,D,10,0.3,D,7.8,0.4,D,7.1,1.1,D,2.6,0.5,D,3.1,0.3,D,14.1,0.4,D,,,R,19.5,0.5,D,11.3,0.8,D,36.1,0.5,D,25,0.8,D,8.1,0.3,D,30.8,0.2,D,9.9,0.3,D,15.3,0.5,D,26.4,0.7,D,34.5,1.1,D,23.5,0.6,D,13.8,0.5,D,13.1,0.4,D
6441.82,6441,2.3,,L,10.4,,L,2.7,,L,1.1,,L,2.9,,L,2.3,,L,2.6,,L,6.4,,L,2.5,,L,1.6,,L,5.3,,L,,,R,3.9,,L,5,,L,15.4,1.1,D,7.9,1.8,D,4.5,,L,16.5,0.5,D,10.8,1.3,D,6.9,,L,13.6,1.9,D,16.4,1.9,D,6.4,0.9,D,6.5,1.1,D,,,R
6445.3,6445,16.8,0.2,D,10.4,1.1,D,6,0.4,D,14.9,0.5,D,1.4,,L,8.1,0.1,D,9.1,0.6,D,6.5,1.4,D,1.1,,L,1.5,0.2,D,24.4,0.6,D,,,R,25.8,1.6,D,7.1,0.7,D,57.1,0.4,D,85.8,2.8,D,6.6,0.7,D,37.2,0.3,C,15,0.4,D,27.9,1.5,D,37.7,0.6,D,46.9,2.2,D,25.3,0.7,D,17.4,0.6,D,,,R
6449.27,6449,15.9,0.6,D,21.4,2.4,D,9.6,0.5,D,11.7,0.6,D,1.3,,L,11.1,0.3,D,7.5,0.3,D,8.8,0.9,D,1.1,,L,1.2,0.2,D,14.2,0.5,D,9,1.2,C,25.5,0.4,D,5.8,0.9,D,37.1,1.1,D,31.9,2.2,D,9,0.1,C,25.4,1,D,14,0.7,D,18.8,2.1,D,41.4,0.9,D,40.3,1.8,D,24.9,0.8,D,11.9,0.6,D,9.9,0.8,D
6452.16,6452,1.1,,L,4.1,,L,0.6,0.1,D,2.1,0.3,D,0.7,,L,0.9,,L,0.4,,L,1.1,,L,0.5,,L,0.8,,L,0.9,,L,2.5,,L,1.6,0.1,D,0.8,,L,4.8,0.1,D,5.3,0.7,D,1,,L,1.8,0.1,D,0.6,,L,2.7,,L,2.8,0.3,D,4.5,0.3,D,2.1,0.1,D,0.9,,L,1.4,,L
6455.92,6455,,,R,,,R,1.6,,L,9.5,0.2,D,,,R,1.8,,L,3.1,0.4,D,,,R,1.1,,L,1.5,,L,20.6,0.7,D,,,R,8.3,0.8,D,,,R,25.3,0.4,D,,,R,,,R,,,R,25.8,0.5,D,3.9,,L,25.9,0.8,D,,,R,9.8,0.2,D,2,,L,,,R
6460.36,6460,3,0.3,D,2.5,,L,1.1,,L,2.1,0.4,D,1.9,,L,2.2,,L,1.5,,L,2.8,,L,0.9,,L,0.8,0.2,D,4.2,0.3,D,4.9,,L,5.3,0.5,D,1.8,,L,8.5,0.3,D,3,,L,2.5,0.4,D,9.1,0.4,D,0.6,,L,2.4,,L,5,0.4,D,7.6,0.5,D,3.6,0.1,D,3.8,,L,5.8,,L
6462.24,6462,4.2,0.5,D,3.1,,L,0.8,,L,1.2,,L,2.7,0.3,D,7.8,0.5,D,1.7,0.4,D,3.7,0.3,D,1.5,0.2,D,0.5,,L,,,R,,,R,,,R,6.8,0.7,D,3.3,0.3,D,2.5,,L,,,R,5,0.2,D,1.6,,L,1.3,,L,8.2,0.8,D,4.4,0.6,D,1.4,0.2,D,2.3,0.6,D,5.4,0.6,D
6463.65,6463,13.5,0.8,D,18.2,2.5,D,2.4,0.4,D,7.5,0.7,D,5.4,0.4,D,4,0.7,D,5.1,0.7,D,15.5,1.8,D,1.1,,L,1.8,,L,6.7,0.5,D,14.7,1.2,C,11.9,1.3,D,13.2,1.2,D,23.3,0.6,D,18.6,1.8,D,5.2,0.7,D,26.4,0.8,D,2,,L,1.4,,L,26.4,3.2,D,30,1.1,D,18.4,0.9,D,6.1,1.2,D,9.2,1,D
6465.43,6465,1.2,,L,4.7,,L,0.7,,L,1.3,,L,6.7,0.3,D,8,0.3,D,1.5,,L,2,,L,0.5,,L,0.3,,L,1.4,,L,5.6,,L,2.3,,L,1.8,,L,3.6,1.2,D,2,,L,1.5,,L,3.6,0.4,D,4.4,,L,10.7,,L,6.1,0.7,D,7.3,0.6,C,6,0.4,D,3.8,0.1,D,3.9,0.6,D
6466.89,6466,8.4,0.2,D,2.7,,L,2.6,0.2,D,2.5,0.5,D,0.5,,L,7.9,0.4,D,2.1,,L,1.9,0.4,D,0.8,,L,0.6,,L,4.7,0.3,D,2.3,,L,2.8,0.4,D,2.8,,L,13.7,0.7,D,15.7,1,D,3,0.4,D,12,0.3,D,4.1,0.2,D,0.8,,L,11.4,0.4,D,11.4,0.9,D,14,0.4,D,3.3,0.1,D,6,0.2,D
6468.71,6468,8,0.3,D,4,,L,3.8,0.3,D,2.7,0.4,D,2.9,0.3,D,6.6,1.3,D,1.5,,L,2.7,,L,0.8,,L,0.9,,L,5.8,0.6,D,,,R,9,0.3,D,7.1,0.8,D,6,1.4,D,10,1.2,D,5,0.3,D,7.9,0.6,D,4.1,0.3,D,6.7,,L,17.1,0.9,D,14.4,1.6,D,10.1,0.4,D,7.4,1.3,D,7.9,1,D
6474.32,6474,4.8,0.1,D,4.6,0.8,D,1.3,,L,2.9,0.4,D,3,0.4,D,2.4,,L,1.6,,L,5.3,1,D,1.2,0.2,D,1.1,,L,2.2,0.5,D,3.2,,L,5.7,0.5,D,2.2,,L,8.6,1.1,D,15.1,1,D,1.3,,L,9.3,1.1,D,1.8,,L,5.5,,L,8.9,1.1,D,7,0.9,D,9.9,0.3,C,8.1,0.8,D,2.8,,L
6477.01,6477,1.5,,L,1.6,,L,0.7,,L,1.2,,L,0.6,,L,1.2,,L,0.5,,L,1.4,,L,0.6,,L,0.6,,L,1.3,0.2,D,1.3,,L,2.6,0.4,D,1.3,,L,4.8,0.4,D,3.5,0.4,D,0.8,,L,2.6,0.2,D,0.6,,L,1.7,,L,7.9,0.5,D,1.9,,L,2.4,0.2,D,,,R,,,R
6489.42,6489,9,0.9,D,7.3,2,D,7.7,0.6,D,5.3,0.4,D,1.3,,L,2.3,,L,2.7,0.4,D,3.4,,L,2.2,0.3,D,2.2,0.5,D,10.1,1,D,6.3,,L,5.8,0.4,D,4.2,,L,21,1.5,D,20.2,1.7,D,1.2,,L,,,R,2.5,,L,2,,L,8.7,0.4,D,23.2,1.4,D,9.5,0.7,D,4.4,0.8,D,10.2,,L
6492.01,6492,,,R,7.3,,L,1.9,0.2,D,1.5,0.3,D,6.9,0.3,D,8.5,0.9,D,2.7,0.1,D,4.3,0.6,D,1.3,0.3,D,1.1,0.3,D,7.3,0.6,D,,,R,1.1,0.2,D,2.7,,L,10.3,0.5,D,8.5,0.7,D,1.7,0.1,D,18.5,0.4,D,9.2,0.2,D,9.9,0.3,D,9.9,0.3,D,14.2,0.8,D,4.1,0.1,D,2.2,0.2,D,,,R
6494.13,6494,135.6,13.3,C,,,R,18.8,,L,96.7,7.7,C,58.7,7.8,D,62.3,,L,54.3,7.1,D,49.5,,L,20.1,,L,21.6,5.9,D,63.5,15.9,D,,,R,46.9,13.7,D,46.6,,L,297.8,10,D,241.1,30.2,D,37.5,,L,345.7,27.6,C,63.4,5.7,D,81.5,,L,245.8,37.1,D,386,48.5,D,86.3,8.1,D,61.5,11.2,D,164.6,8.8,D
6498,6498,4.4,0.6,D,5.1,,L,1.3,0.3,D,3.9,0.5,D,2.2,,L,3.3,0.4,D,2.2,0.4,D,2.6,,L,1.1,,L,0.7,,L,4.4,0.4,D,1.5,,L,3.2,0.2,D,3.5,,L,9.7,0.6,D,12.4,0.7,D,3.8,0.5,D,13.1,0.2,D,4.4,0.5,D,1.6,,L,9.8,1.2,D,11,0.5,D,5.4,0.1,D,4.1,0.6,D,1.4,,L
6513.78,6513,3.1,,L,8.2,,L,3.3,,L,2.2,,L,3.1,1,D,3.8,,L,2.2,,L,5.3,,L,1.9,,L,2.3,,L,3.6,,L,5.9,,L,3.6,0.8,D,6.5,,L,5.6,0.9,D,19.2,2.2,D,3,,L,9.9,0.9,D,6.4,0.9,D,6.5,,L,10.8,1.5,D,16.1,2.3,D,3.6,0.7,D,6.7,1,D,,,R
